epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
32,71831.4,1.79177,2.40061,1.86509,0.44459,0.41707,0.39922,0.1717,1.88171,1.97317,1.86959,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931
33,73835.2,1.8055,2.38108,1.87536,0.47638,0.39305,0.40213,0.17492,1.87816,1.96574,1.86888,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
34,75852.7,1.79854,2.37612,1.86617,0.51007,0.40195,0.41002,0.17819,1.87602,1.95653,1.86001,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733
35,77862.7,1.78941,2.381,1.85857,0.49713,0.40232,0.41365,0.18062,1.86781,1.94986,1.85122,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
36,79876.6,1.78977,2.34277,1.85121,0.47218,0.39876,0.41472,0.1823,1.86293,1.94495,1.85038,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
37,82010.8,1.78104,2.34483,1.84001,0.47473,0.39893,0.41191,0.18204,1.85557,1.93822,1.84484,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
38,84081.4,1.7849,2.34181,1.83803,0.4642,0.39794,0.41221,0.18368,1.84727,1.93027,1.83621,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337
39,86097.6,1.77035,2.32994,1.83316,0.47984,0.39267,0.41143,0.18529,1.84363,1.92609,1.8329,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
40,88100.3,1.76487,2.30079,1.83546,0.4884,0.39566,0.4158,0.18726,1.84025,1.91939,1.83058,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139
41,90112.3,1.76835,2.29147,1.82785,0.48702,0.39882,0.41792,0.18813,1.8404,1.91247,1.83031,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
42,92122.9,1.75292,2.27464,1.8147,0.49703,0.39624,0.41902,0.18751,1.84151,1.90609,1.82854,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941
43,94132.5,1.75602,2.27737,1.8258,0.49687,0.40405,0.41998,0.18873,1.84045,1.90047,1.82651,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
44,96142.8,1.74993,2.24211,1.81543,0.49095,0.41062,0.42313,0.18944,1.83874,1.89522,1.82433,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743
45,98155.1,1.75082,2.24761,1.81746,0.47065,0.41122,0.42216,0.18979,1.83703,1.89179,1.82227,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
46,100159,1.74626,2.24423,1.80911,0.46134,0.43181,0.42306,0.19132,1.8356,1.8873,1.8211,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545
47,102256,1.74038,2.23166,1.80785,0.47746,0.41539,0.42453,0.19273,1.83309,1.8834,1.81996,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446
48,104323,1.73586,2.19514,1.79053,0.47511,0.41415,0.42468,0.19329,1.83256,1.88039,1.81899,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347
49,106313,1.73332,2.20289,1.79513,0.4757,0.42292,0.42489,0.1942,1.83128,1.87648,1.81781,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
