epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
32,34473.6,1.79506,2.36922,1.82598,0.42706,0.39319,0.39027,0.16956,1.86323,2.02881,1.81498,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862
33,35522.3,1.79924,2.36028,1.82862,0.41608,0.4132,0.39379,0.17143,1.85458,2.02493,1.8084,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664
34,36569.9,1.78584,2.35413,1.81849,0.43155,0.42352,0.39878,0.17279,1.85466,2.01157,1.80429,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466
35,37792.9,1.77625,2.31187,1.80435,0.45167,0.42289,0.40067,0.17432,1.85304,2.00464,1.79941,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268
36,38889.6,1.77665,2.30281,1.80395,0.44355,0.43398,0.40026,0.1736,1.85749,1.99787,1.80322,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
37,39937.6,1.76953,2.30432,1.80064,0.44279,0.43236,0.4026,0.17509,1.85423,1.98677,1.80018,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872
38,40985.3,1.76555,2.28816,1.7958,0.44552,0.43526,0.40399,0.17578,1.84877,1.97606,1.79448,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674
39,42033.2,1.75976,2.26225,1.79214,0.45059,0.4267,0.40746,0.17818,1.8438,1.97196,1.78944,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476
40,43079.6,1.74787,2.25658,1.78386,0.44562,0.42773,0.40881,0.1796,1.84359,1.96766,1.78712,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278
41,44018,1.65512,1.98359,1.77009,0.46301,0.43441,0.41136,0.18161,1.84382,1.95824,1.78548,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
42,44952.7,1.64373,1.95464,1.76529,0.46732,0.43104,0.41397,0.18314,1.84201,1.94755,1.78291,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882
43,45888.8,1.6315,1.9089,1.74681,0.47442,0.43154,0.41533,0.1845,1.84,1.93966,1.78081,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684
44,46824.6,1.62116,1.88931,1.74282,0.47629,0.42942,0.41672,0.18562,1.84099,1.93276,1.78089,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486
45,47759.5,1.61247,1.86049,1.72797,0.46706,0.43787,0.41803,0.18618,1.84124,1.92741,1.77995,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288
46,48696.3,1.60097,1.84504,1.71928,0.46988,0.43615,0.41903,0.18733,1.84145,1.92273,1.77903,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109
47,49631.3,1.59862,1.8169,1.7252,0.47356,0.44005,0.41967,0.18846,1.84155,1.91954,1.77877,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892
48,50567.6,1.58656,1.79546,1.71307,0.45813,0.44781,0.42166,0.18914,1.8415,1.91678,1.77854,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694
49,51507,1.58053,1.77331,1.70373,0.46408,0.44727,0.4219,0.18967,1.84121,1.91437,1.77823,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496
50,52440.6,1.56379,1.76881,1.69154,0.4652,0.44698,0.42304,0.19023,1.84156,1.91196,1.77784,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298
